id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
183301,luke-mcgee,48,-,,3,-,-,4.320',47,20
42710,toby-alderweireld,29,1,2,1,-,-,2.492',,
43250,jan-vertonghen,46,-,2,8,-,-,4.035',,
175722,eric-dier,40,-,-,1,-,-,3.498',,
45314,federico-fazio,16,1,-,2,1,-,1.435',,
122675,kevin-wimmer,30,1,-,10,-,-,2.231',,
341049,cameron-carter-vickers,46,4,1,6,-,-,4.151',,
50174,danny-rose,9,-,-,5,-,-,779',,
192765,ben-davies,43,1,1,7,-,-,3.771',,
95424,kyle-walker,31,1,2,3,-,1,2.650',,
95810,kieran-trippier,25,2,-,1,-,-,1.717',,
255916,deandre-yedlin,62,-,4,11,-,-,5.218',,
341051,kyle-walker-peters,37,2,4,5,-,-,3.034',,
249126,harry-winks,30,1,2,3,-,-,1.696',,
69633,christian-eriksen,11,1,4,1,-,-,938',,
19368,mousa-dembele,,,,,,,,,
245537,nabil-bentaleb,18,1,-,4,-,-,1.523',,
61834,ryan-mason,,,,,,,,,
121279,tom-carroll,17,-,-,1,-,-,998',,
243589,josh-onomah,22,1,3,1,-,-,892',,
283655,grant-ward,5,-,-,-,-,-,379',,
207929,dele-alli,29,2,1,5,-,-,1.368',,
200777,alex-pritchard,47,4,13,5,-,-,2.960',,
59631,nacer-chadli,28,1,3,2,-,-,1.328',,
111630,erik-lamela,24,5,3,6,-,-,1.132',,
241119,clinton-njie,22,1,3,1,-,-,743',,
61842,andros-townsend,27,7,4,3,-,-,1.815',,
132098,harry-kane,50,27,10,5,-,-,4.250',,
91845,heung-min-son,45,24,10,3,-,-,3.526',,
101118,joel-robles,3,-,,-,-,-,300',2,2
4267,tim-howard,,,,,,,,,
242089,jindrich-stanek,30,-,,4,-,-,2.671',20,15
186590,john-stones,27,2,-,1,-,-,2.159',,
11111,ramiro-funes-mori,23,-,-,2,-,1,1.780',,
13520,phil-jagielka,41,-,-,3,-,-,3.666',,
348623,mason-holgate,29,3,1,7,-,1,2.492',,
156934,tyias-browning,25,2,1,1,-,-,2.154',,
220755,matthew-pennington,51,3,1,12,-,1,4.521',,
13507,leighton-baines,,,,,,,,,
124983,bryan-oviedo,11,-,2,-,-,-,677',,
208244,brendan-galloway,16,2,2,5,-,-,1.239',,
110860,luke-garbutt,19,-,-,4,-,-,1.509',,
68390,seamus-coleman,34,1,1,4,-,-,2.971',,
3614,tony-hibbert,,,,,,,,,
52432,felipe-mattioni,,,,,,,,,
258883,jonjoe-kenny,21,-,3,2,1,-,1.423',,
93905,muhamed-besic,22,1,-,5,1,-,980',,
3291,gareth-barry,,,,,,,,,
308632,callum-connolly,33,3,1,11,-,1,2.388',,
131978,ross-barkley,14,1,-,-,-,-,452',,
45333,james-mccarthy,22,-,1,2,-,-,740',,
73484,tom-cleverley,30,-,2,2,-,-,1.700',,
42413,darron-gibson,,,,,,,,,
3620,leon-osman,,,,,,,,,
218355,conor-grant,43,7,6,2,-,-,3.692',,
314210,tom-davies,8,1,1,1,-,-,387',,
4321,steven-pienaar,,,,,,,,,
258916,kieran-dowell,24,1,2,1,-,-,1.107',,
21333,aiden-mcgeady,16,3,4,1,1,-,1.039',,
33639,kevin-mirallas,9,1,-,1,-,-,318',,
14221,aaron-lennon,32,2,-,2,-,-,1.803',,
12763,steven-naismith,,,,,,,,,
96341,romelu-lukaku,44,15,2,1,-,-,2.749',,
209781,oumar-niasse,12,3,-,4,-,-,717',,
129476,gerard-deulofeu,35,13,5,9,-,-,2.652',,
8552,arouna-kone,,,,,,,,,
238988,leandro-rodriguez,10,1,-,1,-,-,406',,
121260,conor-mcaleny,26,2,1,1,-,-,1.318',,
52570,fraser-forster,24,-,,2,-,-,2.190',44,4
